Ra,a,t
10000.0,0.1,0.0
10000.0,0.1,15.0
10000.0,0.1,30.0
10000.0,0.1,45.0
10000.0,0.1,60.0
10000.0,0.1,75.0
10000.0,0.1,90.0
10000.0,0.3,0.0
10000.0,0.3,15.0
10000.0,0.3,30.0
10000.0,0.3,45.0
10000.0,0.3,60.0
10000.0,0.3,75.0
10000.0,0.3,90.0
10000.0,0.5,0.0
10000.0,0.5,15.0
10000.0,0.5,30.0
10000.0,0.5,45.0
10000.0,0.5,60.0
10000.0,0.5,75.0
10000.0,0.5,90.0
10000.0,0.7,0.0
10000.0,0.7,15.0
10000.0,0.7,30.0
10000.0,0.7,45.0
10000.0,0.7,60.0
10000.0,0.7,75.0
10000.0,0.7,90.0
10000.0,0.9,0.0
10000.0,0.9,15.0
10000.0,0.9,30.0
10000.0,0.9,45.0
10000.0,0.9,60.0
10000.0,0.9,75.0
10000.0,0.9,90.0
10000.0,1.0,0.0
100000.0,0.1,0.0
100000.0,0.1,15.0
100000.0,0.1,30.0
100000.0,0.1,45.0
100000.0,0.1,60.0
100000.0,0.1,75.0
100000.0,0.1,90.0
100000.0,0.3,0.0
100000.0,0.3,15.0
100000.0,0.3,30.0
100000.0,0.3,45.0
100000.0,0.3,60.0
100000.0,0.3,75.0
100000.0,0.3,90.0
100000.0,0.5,0.0
100000.0,0.5,15.0
100000.0,0.5,30.0
100000.0,0.5,45.0
100000.0,0.5,60.0
100000.0,0.5,75.0
100000.0,0.5,90.0
100000.0,0.7,0.0
100000.0,0.7,15.0
100000.0,0.7,30.0
100000.0,0.7,45.0
100000.0,0.7,60.0
100000.0,0.7,75.0
100000.0,0.7,90.0
100000.0,0.9,0.0
100000.0,0.9,15.0
100000.0,0.9,30.0
100000.0,0.9,45.0
100000.0,0.9,60.0
100000.0,0.9,75.0
100000.0,0.9,90.0
100000.0,1.0,0.0
1000000.0,0.1,0.0
1000000.0,0.1,15.0
1000000.0,0.1,30.0
1000000.0,0.1,45.0
1000000.0,0.1,60.0
1000000.0,0.1,75.0
1000000.0,0.1,90.0
1000000.0,0.3,0.0
1000000.0,0.3,15.0
1000000.0,0.3,30.0
1000000.0,0.3,45.0
1000000.0,0.3,60.0
1000000.0,0.3,75.0
1000000.0,0.3,90.0
1000000.0,0.5,0.0
1000000.0,0.5,15.0
1000000.0,0.5,30.0
1000000.0,0.5,45.0
1000000.0,0.5,60.0
1000000.0,0.5,75.0
1000000.0,0.5,90.0
1000000.0,0.7,0.0
1000000.0,0.7,15.0
1000000.0,0.7,30.0
1000000.0,0.7,45.0
1000000.0,0.7,60.0
1000000.0,0.7,75.0
1000000.0,0.7,90.0
1000000.0,0.9,0.0
1000000.0,0.9,15.0
1000000.0,0.9,30.0
1000000.0,0.9,45.0
1000000.0,0.9,60.0
1000000.0,0.9,75.0
1000000.0,0.9,90.0
1000000.0,1.0,0.0
10000.0,0.1,165.0
10000.0,0.1,150.0
10000.0,0.1,135.0
10000.0,0.1,120.0
10000.0,0.1,105.0
10000.0,0.3,165.0
10000.0,0.3,150.0
10000.0,0.3,135.0
10000.0,0.3,120.0
10000.0,0.3,105.0
10000.0,0.5,165.0
10000.0,0.5,150.0
10000.0,0.5,135.0
10000.0,0.5,120.0
10000.0,0.5,105.0
10000.0,0.7,165.0
10000.0,0.7,150.0
10000.0,0.7,135.0
10000.0,0.7,120.0
10000.0,0.7,105.0
10000.0,0.9,165.0
10000.0,0.9,150.0
10000.0,0.9,135.0
10000.0,0.9,120.0
10000.0,0.9,105.0
100000.0,0.1,165.0
100000.0,0.1,150.0
100000.0,0.1,135.0
100000.0,0.1,120.0
100000.0,0.1,105.0
100000.0,0.3,165.0
100000.0,0.3,150.0
100000.0,0.3,135.0
100000.0,0.3,120.0
100000.0,0.3,105.0
100000.0,0.5,165.0
100000.0,0.5,150.0
100000.0,0.5,135.0
100000.0,0.5,120.0
100000.0,0.5,105.0
100000.0,0.7,165.0
100000.0,0.7,150.0
100000.0,0.7,135.0
100000.0,0.7,120.0
100000.0,0.7,105.0
100000.0,0.9,165.0
100000.0,0.9,150.0
100000.0,0.9,135.0
100000.0,0.9,120.0
100000.0,0.9,105.0
1000000.0,0.1,165.0
1000000.0,0.1,150.0
1000000.0,0.1,135.0
1000000.0,0.1,120.0
1000000.0,0.1,105.0
1000000.0,0.3,165.0
1000000.0,0.3,150.0
1000000.0,0.3,135.0
1000000.0,0.3,120.0
1000000.0,0.3,105.0
1000000.0,0.5,165.0
1000000.0,0.5,150.0
1000000.0,0.5,135.0
1000000.0,0.5,120.0
1000000.0,0.5,105.0
1000000.0,0.7,165.0
1000000.0,0.7,150.0
1000000.0,0.7,135.0
1000000.0,0.7,120.0
1000000.0,0.7,105.0
1000000.0,0.9,165.0
1000000.0,0.9,150.0
1000000.0,0.9,135.0
1000000.0,0.9,120.0
1000000.0,0.9,105.0
